                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.4189,                 1.1398,                  1.622,                0.42453,                 0.4717,                0.44622,                0.19475,                 1.9887,                 1.9454,                 2.1622,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.4327,                 1.2097,                 1.6522,                0.51745,                0.50943,                0.47713,                0.25344,                 1.7465,                 1.7452,                 2.0041,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.5605,                 1.2237,                 1.7642,                 0.4574,                0.56604,                0.52145,                0.25039,                 1.8199,                 1.7551,                 2.0501,               0.001109,               0.001109,               0.001109
                     92,                 1.3779,                 1.1043,                 1.6138,                0.40455,                0.55125,                0.46878,                0.20394,                 2.0011,                 1.8947,                 2.1581,              0.0010991,              0.0010991,              0.0010991
                     93,                   1.41,                 1.1679,                 1.6704,                0.33413,                 0.4717,                0.35608,                0.18738,                 1.8334,                 1.9954,                 2.0072,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.3611,                 1.1579,                 1.5821,                0.72225,                0.37736,                0.53011,                 0.2367,                 1.9826,                  1.799,                 2.1692,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.3072,                 1.0516,                 1.6371,                0.68944,                0.45283,                0.58114,                0.28022,                 1.9065,                 1.6699,                  2.127,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.2941,                 1.0411,                 1.5166,                0.64511,                0.43396,                0.56407,                0.28045,                 1.8177,                 1.6854,                 2.0173,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.4089,                 1.4214,                 1.8737,                0.47757,                0.49057,                 0.5214,                0.25132,                 1.9596,                 1.8378,                 2.1535,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.3654,                 1.1124,                 1.5968,                0.66608,                0.39623,                0.51175,                 0.2348,                 2.0183,                 1.8811,                 2.2357,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.4176,                 1.1132,                 1.7204,                0.62742,                0.39623,                0.49279,                 0.2454,                 1.9141,                 1.8134,                 2.1514,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.3162,                 1.1121,                 1.6224,                  0.499,                0.45283,                0.47517,                0.25123,                 1.7709,                  1.774,                 2.0349,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.2986,                 1.0332,                 1.5923,                0.57658,                0.43684,                0.49846,                0.26052,                 1.7718,                 1.7168,                 2.0326,                0.00101,                0.00101,                0.00101
                    102,                 1.3195,                 1.0941,                  1.589,                0.61739,                0.45283,                0.50255,                0.26532,                 1.7508,                 1.6938,                 1.9956,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.2298,                 1.0332,                 1.5245,                0.61384,                 0.5283,                0.53903,                0.27263,                 1.8132,                 1.6297,                 2.0382,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.3843,                 1.1188,                 1.6042,                0.74212,                0.45283,                0.55791,                 0.2833,                 1.8286,                 1.6128,                 2.0882,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.3484,                 1.0432,                 1.5405,                0.56453,                0.43396,                0.50321,                0.23177,                 1.9492,                 1.7971,                   2.21,              0.0009704,              0.0009704,              0.0009704
                    106,                  1.324,                0.99924,                 1.4623,                0.64507,                0.33962,                0.46115,                0.23224,                 1.8211,                 1.8837,                 2.1281,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.3975,                 1.1033,                 1.6418,                 0.3711,                0.43421,                0.42321,                0.22493,                 1.8762,                  1.914,                 2.1107,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.3946,                 1.0832,                 1.6127,                0.46626,                0.43396,                0.44185,                0.22935,                 1.8401,                 1.9312,                 2.0278,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.3431,                0.97635,                 1.6416,                0.56656,                0.41509,                0.45497,                0.23414,                 1.8432,                 1.8993,                 2.0272,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.3161,                 1.0476,                 1.4962,                0.47632,                 0.4717,                0.49218,                0.24863,                  1.843,                 1.8244,                 2.0436,              0.0009209,              0.0009209,              0.0009209
                    111,                  1.193,                0.97015,                 1.5492,                0.55608,                0.50943,                0.50512,                0.26935,                 1.7754,                 1.7997,                  2.008,               0.000911,               0.000911,               0.000911
                    112,                 1.2051,                0.95803,                 1.5231,                0.48048,                0.49057,                0.50375,                  0.254,                 1.8415,                 1.8431,                 2.0286,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.3557,                 1.0379,                 1.5796,                0.53633,                 0.5283,                 0.5359,                0.29419,                 1.7389,                 1.7096,                 1.9215,              0.0008912,              0.0008912,              0.0008912
                    114,                  1.267,                0.98688,                 1.5492,                0.54892,                 0.5283,                0.53948,                0.28182,                 1.7803,                 1.8409,                 2.0117,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.2136,                0.97661,                 1.4475,                  0.595,                0.49057,                0.54236,                0.27666,                 1.7911,                 1.7103,                 2.0385,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.2882,                0.99113,                 1.5609,                0.53875,                0.45283,                 0.5098,                 0.2554,                 1.7881,                   1.65,                 2.0294,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.2487,                0.96259,                 1.5163,                0.46764,                 0.5283,                 0.4904,                0.22319,                 1.8933,                 1.7971,                 2.1116,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.3304,                 1.0445,                 1.5832,                0.61894,                0.42915,                0.49514,                0.23943,                 1.7846,                  1.821,                 2.0417,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.1827,                0.90462,                 1.4655,                0.75874,                0.41509,                0.52877,                0.26107,                 1.7887,                 1.6873,                 2.0633,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.2854,                0.96421,                 1.5511,                0.49152,                0.58365,                0.54571,                0.25629,                 1.9046,                 1.6065,                 2.1467,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.1546,                0.93282,                 1.4158,                0.48787,                0.50943,                0.54935,                0.26523,                 1.8634,                 1.6521,                 2.0792,               0.000812,               0.000812,               0.000812
                    122,                 1.1998,                 0.9032,                 1.4968,                0.63172,                0.42085,                0.49429,                 0.2272,                 1.8889,                  1.801,                 2.0796,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.2862,                0.94483,                 1.5515,                0.53132,                0.45283,                0.48381,                0.24121,                 1.7763,                 1.8507,                 1.9922,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.2833,                0.97414,                 1.5252,                0.51282,                0.41509,                 0.4488,                0.23699,                 1.7526,                 1.9224,                  1.999,              0.0007823,              0.0007823,              0.0007823
