                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0373,                 1.3349,                  1.235,                 1.0526,                0.72025,                0.66667,                0.70673,                0.43634,                0.55402,                0.93228,                0.78718,                0.45165,                 1.3384,                 1.8706,                  2.331,                 1.2476,              0.0013268,              0.0013268,              0.0013268
                     36,                0.98826,                 1.3579,                 1.1985,                 1.0368,                0.80634,                   0.75,                0.80108,                  0.346,                0.80634,                   0.75,                0.84421,                0.48538,                 1.5146,                 1.8972,                 2.4029,                 1.3448,               0.001307,               0.001307,               0.001307
                     37,                0.93068,                 1.1205,                 1.1516,                 1.0221,                0.80634,                   0.75,                0.80108,                  0.346,                0.80634,                   0.75,                0.84421,                0.48538,                 1.5146,                 1.8972,                 2.4029,                 1.3448,              0.0012872,              0.0012872,              0.0012872
                     38,                0.96186,                 1.1028,                 1.1008,                 1.0678,                 0.8162,                 0.7409,                0.80451,                0.37445,                 0.8162,                 0.7409,                0.85769,                0.47393,                 1.4421,                 2.1143,                 2.3272,                   1.44,              0.0012674,              0.0012674,              0.0012674
                     39,                0.79106,                 1.2762,                 1.0397,                0.95937,                0.80646,                   0.75,                0.76655,                0.41795,                0.80646,                   0.75,                0.78159,                0.42683,                 1.3976,                 2.8478,                 2.1486,                 1.4433,              0.0012476,              0.0012476,              0.0012476
                     40,                0.89215,                 1.3669,                 1.0077,                0.97772,                0.88052,                0.66667,                0.79425,                0.40173,                0.99284,                   0.75,                0.89583,                 0.4962,                  1.483,                 2.2582,                  2.056,                 1.4356,              0.0012278,              0.0012278,              0.0012278
                     41,                0.91854,                 1.2014,                 1.0471,                0.99833,                0.88052,                0.66667,                0.79425,                0.40173,                0.99284,                   0.75,                0.89583,                 0.4962,                  1.483,                 2.2582,                  2.056,                 1.4356,               0.001208,               0.001208,               0.001208
                     42,                0.86702,                 1.2268,                 1.0637,                0.99684,                0.89183,                   0.75,                0.79011,                0.43138,                0.98722,                0.83333,                0.91869,                0.55006,                 1.4872,                 1.8841,                 2.0204,                 1.3706,              0.0011882,              0.0011882,              0.0011882
                     43,                0.85884,                 1.2272,                 1.1437,                 1.0401,                      1,                0.73493,                0.79986,                 0.4516,                0.98242,                0.83333,                 0.9169,                0.56239,                 1.5536,                 1.8575,                 2.0386,                 1.3786,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.7784,                 1.1525,                0.99437,                0.94669,                0.99621,                0.83333,                0.93626,                 0.5165,                0.99621,                0.83333,                0.93626,                0.57485,                 1.5131,                 2.0892,                 1.9102,                 1.3844,              0.0011486,              0.0011486,              0.0011486
